25;2;4;2
5;3;2;3
1;2;2;2
0;1;0;2
0;2;2;2
2;1;1;1
4;4;5;3
2;3;3;4
5;4;2;0
3;3;3;4
2;11;5;8
7;16;11;15
15;0;2;2
10;11;11;15
14;16;12;14
15;16;12;11
10;15;7;16
7;11;8;5
13;10;11;14
14;13;9;17
9;13;8;9
11;9;13;10
7;7;9;8
16;14;9;9
14;16;9;9
9;15;8;12
8;19;19;17
20;7;15;15
11;6;3;4
2;1;1;4
3;5;1;4
0;3;0;2
1;3;2;2
2;1;1;4
3;0;2;3
3;1;2;3
3;3;0;3
1;2;0;3
3;2;4;3
1;1;0;0
0;2;2;5
1;1;3;0
2;0;1;1
1;1;0;0
0;0;1;0
0;1;2;0
2;0;1;1
1;1;0;1
9;3;1;0
1;5;0;0
0;1;1;1
1;1;0;0
0;21;32;28
15;18;14;3
7;15;5;2
5;1;1;4
1;1;2;1
2;0;1;2
1;4;2;3
2;6;0;7
1;2;4;2
2;4;2;2
3;5;2;2
1;6;3;6
6;9;5;2
3;4;4;4
4;4;3;7
2;0;1;3
5;1;1;1
2;0;0;0
0;1;1;1
1;1;0;2
4;3;4;2
2;3;5;3
3;4;1;6
5;5;6;7
4;12;3;7
7;6;8;5
4;19;28;24
29;33;41;24
28;28;33;25
41;33;44;63
55;58;56;46
44;48;46;55
50;58;44;42
63;59;45;45
31;41;44;34
39;37;55;42
44;46;39;48
48;38;44;48
35;44;43;31
23;87;77;65
73;33;45;27
24;15;9;12
10;6;9;9
2;12;7;4
6;2;2;3
6;2;6;5
5;14;11;8
5;8;11;13
10;10;10;24
19;22;12;12
12;11;12;7
11;4;12;3
2;8;17;7
7;7;6;6
2;2;3;1
3;1;2;3
0;0;1;2
0;1;1;0
1;1;1;0
1;4;2;9
2;7;6;5
15;9;8;20
21;15;19;16
13;15;9;10
11;8;7;3
3;1;9;11
7;1;4;3
2;2;2;1
1;1;2;1
6;2;1;2
3;2;1;2
0;2;1;3
1;1;6;0
